Organism,Human Microbiome Body Site
Staphylococcus sp. HMSC064A01,not-specified
Staphylococcus sp. HMSC064A09,not-specified
Staphylococcus sp. HMSC064E03,not-specified
Staphylococcus sp. HMSC064E11,not-specified
Staphylococcus sp. HMSC065A08,urogenital-tract
Staphylococcus sp. HMSC065C09,not-specified
Staphylococcus sp. HMSC065C10,not-specified
Staphylococcus sp. HMSC065D05,not-specified
Staphylococcus sp. HMSC065D11,not-specified
Staphylococcus sp. HMSC065E07,not-specified
Staphylococcus sp. HMSC065E08,not-specified
Staphylococcus sp. HMSC066C03,not-specified
Staphylococcus sp. HMSC066G04,not-specified
Staphylococcus sp. HMSC067B04,not-specified
Staphylococcus sp. HMSC067F07,not-specified
Staphylococcus sp. HMSC067F10,oral
Staphylococcus sp. HMSC067G10,not-specified
Staphylococcus sp. HMSC068C09,oral
Staphylococcus sp. HMSC068D03,not-specified
Staphylococcus sp. HMSC068D05,not-specified
Staphylococcus sp. HMSC068D07,not-specified
Staphylococcus sp. HMSC068D08,not-specified
Staphylococcus sp. HMSC068G03,not-specified
Staphylococcus sp. HMSC068G11,not-specified
Staphylococcus sp. HMSC068G12,not-specified
Staphylococcus sp. HMSC068H08,not-specified
Staphylococcus sp. HMSC068H12,not-specified
Staphylococcus sp. HMSC069D04,not-specified
Staphylococcus sp. HMSC069D07,not-specified
Staphylococcus sp. HMSC069D12,not-specified
Staphylococcus sp. HMSC069E07,not-specified
Staphylococcus sp. HMSC069E09,not-specified
Staphylococcus sp. HMSC069E10,not-specified
Staphylococcus sp. HMSC06C11,urogenital-tract
Staphylococcus sp. HMSC070A02,not-specified
Staphylococcus sp. HMSC070A03,not-specified
Staphylococcus sp. HMSC070A07,not-specified
Staphylococcus sp. HMSC070D05,not-specified
Staphylococcus sp. HMSC070D07,not-specified
Staphylococcus sp. HMSC071G07,not-specified
Staphylococcus sp. HMSC072B07,not-specified
Staphylococcus sp. HMSC072D04,not-specified
Staphylococcus sp. HMSC072E01,urogenital-tract
Staphylococcus sp. HMSC072H01,not-specified
Staphylococcus sp. HMSC072H03,urogenital-tract
Staphylococcus sp. HMSC073C02,not-specified
Staphylococcus sp. HMSC073C12,not-specified
Staphylococcus sp. HMSC073E10,not-specified
Staphylococcus sp. HMSC074A11,not-specified
Staphylococcus sp. HMSC074B09,oral
Staphylococcus sp. HMSC074C02,not-specified
Staphylococcus sp. HMSC074C12,not-specified
Staphylococcus sp. HMSC074D07,not-specified
Staphylococcus sp. HMSC074F11,bone
Staphylococcus sp. HMSC075A04,not-specified
Staphylococcus sp. HMSC075C08,not-specified
Staphylococcus sp. HMSC075F12,not-specified
Staphylococcus sp. HMSC075H09,not-specified
Staphylococcus sp. HMSC076B11,not-specified
Staphylococcus sp. HMSC076E07,not-specified
Staphylococcus sp. HMSC076H12,not-specified
Staphylococcus sp. HMSC077B09,not-specified
Staphylococcus sp. HMSC077C03,not-specified
Staphylococcus sp. HMSC077C04,not-specified
Staphylococcus sp. HMSC077D08,not-specified
Staphylococcus sp. HMSC077D09,not-specified
Staphylococcus sp. HMSC077E11,not-specified
Staphylococcus sp. HMSC077E12,not-specified
Staphylococcus sp. HMSC077G12,not-specified
Staphylococcus sp. HMSC077H01,not-specified
Staphylococcus sp. HMSC078A03,not-specified
Staphylococcus sp. HMSC078A08,not-specified
Staphylococcus sp. HMSC078A12,not-specified
Staphylococcus sp. HMSC078B01,not-specified
Staphylococcus sp. HMSC078D05,not-specified
Staphylococcus sp. HMSC078E07,urogenital-tract
Staphylococcus sp. HMSC10B09,urogenital-tract
Staphylococcus sp. HMSC10C03,urogenital-tract
Staphylococcus sp. HMSC12H08,urogenital-tract
Staphylococcus sp. HMSC13A10,urogenital-tract
Staphylococcus sp. HMSC14C01,urogenital-tract
Staphylococcus sp. HMSC14C08,urogenital-tract
Staphylococcus sp. HMSC14D01,urogenital-tract
Staphylococcus sp. HMSC14D10,urogenital-tract
Staphylococcus sp. HMSC34B12,urogenital-tract
Staphylococcus sp. HMSC34C02,urogenital-tract
Staphylococcus sp. HMSC34D01,skin
Staphylococcus sp. HMSC34G04,urogenital-tract
Staphylococcus sp. HMSC34H10,not-specified
Staphylococcus sp. HMSC35D08,not-specified
Staphylococcus sp. HMSC36A02,urogenital-tract
Staphylococcus sp. HMSC36A10,not-specified
Staphylococcus sp. HMSC36C03,skin
Staphylococcus sp. HMSC36D07,skin
Staphylococcus sp. HMSC36D12,skin
Staphylococcus sp. HMSC36F05,skin
Staphylococcus sp. HMSC36G04,not-specified
Staphylococcus sp. HMSC55D02,not-specified
Staphylococcus sp. HMSC55F09,skin
Staphylococcus sp. HMSC56B09,skin
Staphylococcus sp. HMSC57A07,skin
Staphylococcus sp. HMSC57B03,skin
Staphylococcus sp. HMSC58A02,skin
Staphylococcus sp. HMSC58B01,"skin, not-specified"
Staphylococcus sp. HMSC58E11,bone
Staphylococcus sp. HMSC62A08,skin
Staphylococcus sp. HMSC62B09,skin
Staphylococcus sp. HMSC62D11,skin
Staphylococcus sp. HMSC64F10,skin
Staphylococcus sp. HMSC65H10,not-specified
Staphylococcus sp. HMSC66A04,skin
Staphylococcus sp. HMSC66C11,skin
Staphylococcus sp. HMSC69H07,skin
Staphylococcus sp. HMSC70A05,not-specified
Staphylococcus sp. HMSC70F07,skin
Staphylococcus sp. HMSC72E08,not-specified
Staphylococcus sp. HMSC73A05,skin
Staphylococcus sp. HMSC73C01,not-specified
Staphylococcus sp. HMSC74A08,skin
Staphylococcus sp. HMSC74D05,not-specified
Staphylococcus sp. HMSC74F04,bone
Staphylococcus sp. HMSC74F12,bone
Staphylococcus sp. HMSC74G01,bone
Staphylococcus sp. HMSC74G05,eye
Staphylococcus sp. HMSC76G03,skin
Staphylococcus sp. HMSC77A05,not-specified
Staphylococcus warneri L37603,skin
Stenotrophomonas maltophilia S028,oral
Stenotrophomonas sp. HMSC10F06,gastrointestinal-tract
Stenotrophomonas sp. HMSC10F07,gastrointestinal-tract
Stomatobaculum longum ACC2,oral
Streptococcus agalactiae ATCC 13813,oral
Streptococcus agalactiae BV3L5,not-specified
Streptococcus agalactiae GBS-M002,not-specified
Streptococcus agalactiae NGBS357,not-specified
Streptococcus agalactiae PSS_7568,urogenital-tract
Streptococcus agalactiae PSS_7625,urogenital-tract
Streptococcus agalactiae PSS_7632a,urogenital-tract
Streptococcus agalactiae PSS_7632b,urogenital-tract
Streptococcus agalactiae PSS_7678,urogenital-tract
Streptococcus agalactiae PSS_7722,urogenital-tract
Streptococcus agalactiae PSS_7736,urogenital-tract
Streptococcus anginosus 1_2_62CV,gastrointestinal-tract
Streptococcus anginosus F0211,oral
Streptococcus anginosus SK1138,blood
Streptococcus anginosus SK52,oral
Streptococcus anginosus whileyi CCUG 39159,oral
Streptococcus australis ATCC 700641,not-specified
Streptococcus australis ATCC 700641,oral
Streptococcus constellatus constellatus SK53,airways
Streptococcus constellatus pharyngis SK1060,not-specified
Streptococcus cristatus ATCC 51100,oral
Streptococcus cristatus ATCC 51100,oral
Streptococcus downei F0415,oral
Streptococcus dysgalactiae equisimilis SK1249,oral
Streptococcus dysgalactiae equisimilis SK1250,oral
Streptococcus equinus ATCC 700338,urogenital-tract
Streptococcus equinus ATCC 9812,gastrointestinal-tract
Streptococcus gallolyticus gallolyticus TX20005,heart
Streptococcus gordonii IE35,not-specified
Streptococcus infantarius infantarius ATCC BAA-102,gastrointestinal-tract
Streptococcus infantis ATCC 700779,not-specified
Streptococcus infantis ATCC 700779,airways
Streptococcus infantis ATCC 700779,airways
Streptococcus infantis SK1076,blood
Streptococcus infantis SK1302,oral
Streptococcus infantis SK970,blood
Streptococcus infantis X,blood
Streptococcus intermedius ATCC 27335,not-specified
Streptococcus intermedius F0395,oral
Streptococcus intermedius F0413,oral
Streptococcus intermedius SK54,oral
Streptococcus massiliensis DSM 18628,blood
Streptococcus mitis ATCC 6249,oral
Streptococcus mitis CMW7705B,urogenital-tract
Streptococcus mitis F0392,oral
Streptococcus mitis SK1073,blood
Streptococcus mitis SK1080,blood
Streptococcus mitis SK569,blood
Streptococcus mitis SK575,blood
Streptococcus mitis SK579,blood
Streptococcus mitis SK616,blood
Streptococcus mitis SK95,oral
Streptococcus mitis SPAR10,blood
Streptococcus oralis ATCC 35037,oral
Streptococcus oralis ATCC 49296,oral
Streptococcus oralis SK10,blood
Streptococcus oralis SK100,oral
Streptococcus oralis SK1074,blood
Streptococcus oralis SK255,blood
Streptococcus oralis SK304,oral
Streptococcus oralis SK313,airways
Streptococcus oralis SK610,airways
Streptococcus parasanguinis ATCC 15912,oral
Streptococcus parasanguinis ATCC 903,airways
Streptococcus parasanguinis CC87K,not-specified
Streptococcus parasanguinis F0405,not-specified
Streptococcus parasanguinis F0449,not-specified
Streptococcus parasanguinis SK236,oral
Streptococcus pasteurianus GED7275A,urogenital-tract
Streptococcus peroris ATCC 700780,oral
Streptococcus pneumoniae 2070335,central-nervous-system
Streptococcus pneumoniae 2072047,central-nervous-system
Streptococcus pneumoniae 2081074,central-nervous-system
Streptococcus pneumoniae 2082170,central-nervous-system
Streptococcus pneumoniae 2082239,central-nervous-system
Streptococcus pneumoniae AP200,not-specified
Streptococcus pneumoniae EU-NP05,airways
Streptococcus pneumoniae GA02270,blood
Streptococcus pneumoniae GA02714,blood
Streptococcus pneumoniae GA04375,blood
Streptococcus pneumoniae GA13499,blood
Streptococcus pneumoniae GA13637,blood
Streptococcus pneumoniae GA14798,blood
Streptococcus pneumoniae GA16121,blood
Streptococcus pneumoniae GA16531,blood
Streptococcus pneumoniae GA17227,blood
Streptococcus pneumoniae GA40028,blood
Streptococcus pneumoniae GA41277,blood
Streptococcus pneumoniae GA41301,central-nervous-system
Streptococcus pneumoniae GA41317,blood
Streptococcus pneumoniae GA41410,blood
Streptococcus pneumoniae GA41437,blood
Streptococcus pneumoniae GA41538,blood
Streptococcus pneumoniae GA41565,blood
Streptococcus pneumoniae GA41688,blood
Streptococcus pneumoniae GA43264,blood
Streptococcus pneumoniae GA43380,blood
Streptococcus pneumoniae GA44194,blood
Streptococcus pneumoniae GA47283,blood
Streptococcus pneumoniae GA47368,blood
Streptococcus pneumoniae GA47751,blood
Streptococcus pneumoniae GA47778,blood
Streptococcus pneumoniae GA47901,blood
Streptococcus pneumoniae GA49447,blood
Streptococcus pneumoniae GA54644,blood
Streptococcus pneumoniae gamPNI0373,blood
Streptococcus pneumoniae PCS125219,airways
Streptococcus pneumoniae PCS70012,airways
Streptococcus pneumoniae PCS8106,airways
Streptococcus pneumoniae PCS8106,"airways, blood"
Streptococcus pneumoniae PCS81218,airways
Streptococcus pneumoniae PCS8203,airways
Streptococcus pneumoniae PCS8203,"airways, blood"
Streptococcus pneumoniae PCS8235,blood
Streptococcus pneumoniae PNI0002,blood
Streptococcus pneumoniae PNI0006,central-nervous-system
Streptococcus pneumoniae PNI0007,airways
Streptococcus pneumoniae PNI0008,central-nervous-system
Streptococcus pneumoniae PNI0009,blood
Streptococcus pneumoniae PNI0010,airways
Streptococcus pneumoniae PNI0076,airways
Streptococcus pneumoniae PNI0153,blood
Streptococcus pneumoniae PNI0159,not-specified
Streptococcus pneumoniae PNI0164,not-specified
Streptococcus pneumoniae PNI0197,not-specified
Streptococcus pneumoniae PNI0199,blood
Streptococcus pneumoniae PNI0212,not-specified
Streptococcus pneumoniae PNI0360,not-specified
Streptococcus pneumoniae PNI0427,central-nervous-system
Streptococcus pneumoniae PNI0446,blood
Streptococcus pneumoniae PNI0446,blood
Streptococcus pneumoniae SP49,blood
Streptococcus pneumoniae SP61,not-specified
Streptococcus pneumoniae SP64,not-specified
Streptococcus pneumoniae SPAR27,blood
Streptococcus pneumoniae SPAR48,blood
Streptococcus pneumoniae SPAR55,blood
Streptococcus pneumoniae SPAR95,blood
Streptococcus pneumoniae ST556,not-specified
Streptococcus pneumoniae SWU02,not-specified
Streptococcus pneumoniae TCH8431/19A,airways
Streptococcus pseudopneumoniae ATCC BAA-960,airways
Streptococcus pseudopneumoniae SK674,airways
Streptococcus pseudoporcinus SPIN 20026,urogenital-tract
Streptococcus pyogenes Alab49,not-specified
Streptococcus pyogenes ATCC 10782,airways
Streptococcus pyogenes GA03455,not-specified
Streptococcus pyogenes GA03747,not-specified
Streptococcus pyogenes GA03799,not-specified
Streptococcus pyogenes GA03805,not-specified
Streptococcus pyogenes GA06023,not-specified
Streptococcus pyogenes GA16797,not-specified
Streptococcus pyogenes GA19681,not-specified
Streptococcus pyogenes GA19700,not-specified
Streptococcus pyogenes GA19702,not-specified
Streptococcus pyogenes GA40056,not-specified
Streptococcus pyogenes GA40377,not-specified
Streptococcus pyogenes GA40468,not-specified
Streptococcus pyogenes GA40634,not-specified
Streptococcus pyogenes GA40884,not-specified
Streptococcus pyogenes GA41039,not-specified
Streptococcus pyogenes GA41046,not-specified
Streptococcus pyogenes GA41208,not-specified
Streptococcus pyogenes GA41345,not-specified
Streptococcus pyogenes GA41394,not-specified
Streptococcus pyogenes MGAS15252,not-specified
Streptococcus pyogenes MGAS1882,not-specified
Streptococcus pyogenes UTMEM-1,not-specified
Streptococcus pyogenes UTSW-2,not-specified
Streptococcus salivarius GED7778A,urogenital-tract
Streptococcus salivarius SK126,skin
Streptococcus sanguinis ATCC 29667,oral
Streptococcus sanguinis CC94A,not-specified
Streptococcus sanguinis SK1,heart
Streptococcus sanguinis SK1 = NCTC 7863,"heart, oral"
Streptococcus sanguinis SK1056,blood
Streptococcus sanguinis SK1057,blood
Streptococcus sanguinis SK1058,blood
Streptococcus sanguinis SK1059,blood
Streptococcus sanguinis SK1087,blood
Streptococcus sanguinis SK115,oral
Streptococcus sanguinis SK150,oral
Streptococcus sanguinis SK160,oral
Streptococcus sanguinis SK330,oral
Streptococcus sanguinis SK340,oral
Streptococcus sanguinis SK353,oral
Streptococcus sanguinis SK355,oral
Streptococcus sanguinis SK405,blood
Streptococcus sanguinis SK408,blood
Streptococcus sanguinis SK49,oral
Streptococcus sanguinis SK678,blood
Streptococcus sanguinis SK72,oral
Streptococcus sanguinis VMC66,blood
Streptococcus sobrinus W1703,not-specified
Streptococcus sp. 2_1_36FAA,gastrointestinal-tract
Streptococcus sp. AC15,not-specified
Streptococcus sp. ACC21,not-specified
Streptococcus sp. ACS2,not-specified
Streptococcus sp. AS14,oral
Streptococcus sp. AS20,not-specified
Streptococcus sp. BS21,not-specified
Streptococcus sp. BS29a,not-specified
Streptococcus sp. BS35b,oral
Streptococcus sp. C150,airways
Streptococcus sp. C300,airways
Streptococcus sp. CM6,not-specified
Streptococcus sp. CM7,not-specified
Streptococcus sp. F0441,oral
Streptococcus sp. F0442,oral
Streptococcus sp. HMSC034A12,urogenital-tract
Streptococcus sp. HMSC034B03,urogenital-tract
Streptococcus sp. HMSC034B04,urogenital-tract
Streptococcus sp. HMSC034B05,urogenital-tract
Streptococcus sp. HMSC034E03,urogenital-tract
Streptococcus sp. HMSC034E12,urogenital-tract
Streptococcus sp. HMSC034F02,urogenital-tract
Streptococcus sp. HMSC034F03,urogenital-tract
Streptococcus sp. HMSC036H09,urogenital-tract
Streptococcus sp. HMSC056B03,urogenital-tract
Streptococcus sp. HMSC056C01,urogenital-tract
Streptococcus sp. HMSC056D01,urogenital-tract
Streptococcus sp. HMSC056D07,urogenital-tract
Streptococcus sp. HMSC057E02,not-specified
Streptococcus sp. HMSC057F04,not-specified
Streptococcus sp. HMSC057G03,gastrointestinal-tract
Streptococcus sp. HMSC061D01,not-specified
Streptococcus sp. HMSC061D10,oral
Streptococcus sp. HMSC061E03,oral
Streptococcus sp. HMSC062B01,oral
Streptococcus sp. HMSC062D07,not-specified
Streptococcus sp. HMSC062H02,not-specified
Streptococcus sp. HMSC063B03,oral
Streptococcus sp. HMSC063D10,not-specified
Streptococcus sp. HMSC064D12,oral
Streptococcus sp. HMSC064H02,not-specified
Streptococcus sp. HMSC064H09,not-specified
Streptococcus sp. HMSC065C01,oral
Streptococcus sp. HMSC065E03,not-specified
Streptococcus sp. HMSC065G04,not-specified
Streptococcus sp. HMSC065H07,not-specified
Streptococcus sp. HMSC066E07,not-specified
Streptococcus sp. HMSC066F01,oral
Streptococcus sp. HMSC066F10,not-specified
Streptococcus sp. HMSC067A03,not-specified
Streptococcus sp. HMSC067H01,not-specified
Streptococcus sp. HMSC068F04,oral
Streptococcus sp. HMSC068H01,not-specified
Streptococcus sp. HMSC069D09,not-specified
Streptococcus sp. HMSC070A10,not-specified
Streptococcus sp. HMSC070B09,not-specified
Streptococcus sp. HMSC070B10,oral
Streptococcus sp. HMSC071D03,not-specified
Streptococcus sp. HMSC071H03,not-specified
Streptococcus sp. HMSC072C09,not-specified
Streptococcus sp. HMSC072D03,not-specified
Streptococcus sp. HMSC072D05,oral
Streptococcus sp. HMSC072D07,oral
Streptococcus sp. HMSC072E12,not-specified
Streptococcus sp. HMSC072G02,not-specified
Streptococcus sp. HMSC072G04,not-specified
Streptococcus sp. HMSC073A12,not-specified
Streptococcus sp. HMSC073D05,gastrointestinal-tract
Streptococcus sp. HMSC073F11,oral
Streptococcus sp. HMSC074B11,oral
Streptococcus sp. HMSC074F05,not-specified
Streptococcus sp. HMSC074F09,not-specified
Streptococcus sp. HMSC074F10,not-specified
Streptococcus sp. HMSC075A03,not-specified
Streptococcus sp. HMSC076C08,oral
Streptococcus sp. HMSC076C09,oral
Streptococcus sp. HMSC076D11,not-specified
Streptococcus sp. HMSC076E03,not-specified
Streptococcus sp. HMSC076H07,not-specified
Streptococcus sp. HMSC076H08,not-specified
Streptococcus sp. HMSC076H09,not-specified
Streptococcus sp. HMSC076H10,not-specified
Streptococcus sp. HMSC077D04,not-specified
Streptococcus sp. HMSC077F03,not-specified
Streptococcus sp. HMSC078D02,not-specified
Streptococcus sp. HMSC078D09,not-specified
Streptococcus sp. HMSC078E03,urogenital-tract
Streptococcus sp. HMSC078E08,not-specified
Streptococcus sp. HMSC078H03,not-specified
Streptococcus sp. HMSC078H12,oral
Streptococcus sp. HMSC10A01,gastrointestinal-tract
Streptococcus sp. HMSC10E12,not-specified
Streptococcus sp. HMSC11C05,not-specified
Streptococcus sp. HMSC34B10,not-specified
Streptococcus sp. HMSC36C04,skin
Streptococcus sp. HPH0090,not-specified
Streptococcus sp. M143,airways
Streptococcus sp. M334,airways
Streptococcus sp. OBRC6,not-specified
Streptococcus sp. oral taxon 056 F0418,oral
Streptococcus sp. oral taxon 058 F0407,oral
Streptococcus sp. oral taxon 071 73H25AP,oral
Streptococcus sp. SK140,oral
Streptococcus sp. SK643,oral
Streptococcus sp. SR1,not-specified
Streptococcus sp. SR4,not-specified
Streptococcus sp. VT 162,not-specified
Streptococcus tigurinus AZ_3a,blood
Streptococcus urinalis FB127-CNA-2,urogenital-tract
Streptococcus vestibularis ATCC 49124,oral
Streptococcus vestibularis F0396,oral
Streptomyces sp. HGB0020,not-specified
Streptomyces sp. HPH0547,not-specified
Subdoligranulum sp. 4_3_54A2FAA,gastrointestinal-tract
Subdoligranulum variabile DSM 15176,gastrointestinal-tract
Succinatimonas hippei YIT 12066,gastrointestinal-tract
Sutterella parvirubra YIT 11816,gastrointestinal-tract
Sutterella sp. KLE1602,"not-specified, gastrointestinal-tract"
Sutterella wadsworthensis 2_1_59BFAA,gastrointestinal-tract
Sutterella wadsworthensis 3_1_45B,gastrointestinal-tract
Sutterella wadsworthensis HGA0223,not-specified
Synergistes sp. 3_1_syn1,gastrointestinal-tract
Tannerella forsythia 92A2,not-specified
Tannerella sp. 6_1_58FAA_CT1,gastrointestinal-tract
Tannerella sp. oral taxon BU063 W11667,not-specified
Tissierellia bacterium KA00581,urogenital-tract
Tissierellia bacterium S5-A11,urogenital-tract
Tissierellia bacterium S7-1-4,urogenital-tract
Treponema denticola AL-2,not-specified
Treponema denticola ASLM,not-specified
Treponema denticola ATCC 33520,not-specified
Treponema denticola ATCC 33521,not-specified
Treponema denticola ATCC 35404,not-specified
Treponema denticola F0402,oral
Treponema denticola H-22,not-specified
Treponema denticola H1-T,not-specified
Treponema denticola MYR-T,not-specified
Treponema denticola OTK,not-specified
Treponema denticola SP23,not-specified
Treponema denticola SP32,not-specified
Treponema denticola SP33,not-specified
Treponema denticola SP37,not-specified
Treponema denticola SP44,not-specified
Treponema denticola US-Trep,not-specified
Treponema lecithinolyticum ATCC 700332,not-specified
Treponema lecithinolyticum ATCC 700332,not-specified
Treponema maltophilum ATCC 51939,not-specified
Treponema medium ATCC 700293,not-specified
Treponema phagedenis F0421,urogenital-tract
Treponema putidum,not-specified
Treponema socranskii socranskii ATCC 35536,not-specified
Treponema socranskii socranskii VPI DR56BR1116,not-specified
Treponema vincentii ATCC 35580,oral
Treponema vincentii F0403,not-specified
Trueperella sp. HMSC08B05,urogenital-tract
Trueperella sp. HMSC08H06,urogenital-tract
Turicella otitidis ATCC 51513,ear
Turicella sp. HMSC034H07,urogenital-tract
Turicella sp. HMSC059E07,urogenital-tract
Turicella sp. HMSC062E11,not-specified
Turicella sp. HMSC068H04,not-specified
Turicella sp. HMSC074A09,not-specified
Turicella sp. HMSC076G08,urogenital-tract
Turicibacter sanguinis PC909,gastrointestinal-tract
Turicibacter sp. HGF1,gastrointestinal-tract
Tyzzerella nexilis DSM 1787,gastrointestinal-tract
Tyzzerella nexilis DSM 1787,gastrointestinal-tract
Varibaculum cambriense DNF00696,urogenital-tract
Veillonella atypica ACS-049-V-Sch6,urogenital-tract
Veillonella atypica ACS-134-V-Col7a,urogenital-tract
Veillonella atypica CMW7756B,urogenital-tract
Veillonella atypica KON,oral
Veillonella dispar ATCC 17748,oral
Veillonella dispar DNF00926,urogenital-tract
Veillonella montpellierensis DNF00314,urogenital-tract
Veillonella parvula ACS-068-V-Sch12,urogenital-tract
Veillonella parvula ATCC 17745,oral
Veillonella parvula DNF00876,urogenital-tract
Veillonella seminalis ACS-216-V-Col6b,urogenital-tract
Veillonella sp. 3_1_44,gastrointestinal-tract
Veillonella sp. 6_1_27,gastrointestinal-tract
Veillonella sp. ACP1,oral
Veillonella sp. AS16,not-specified
Veillonella sp. DNF00869,urogenital-tract
Veillonella sp. HPA0037,not-specified
Veillonella sp. ICM51a,not-specified
Veillonella sp. oral taxon 158 F0412,oral
Veillonella sp. oral taxon 780 F0422,oral
Veillonellaceae bacterium DNF00626,urogenital-tract
Veillonellaceae bacterium DNF00751,urogenital-tract
Veillonellaceae bacterium KA00182,urogenital-tract
Vibrio cholerae 2010EL-1786,not-specified
Vibrio parahaemolyticus FORC_023,not-specified
Vibrio vulnificus FORC_017,blood
Weeksella sp. HMSC059D05,urogenital-tract
Weeksella virosa DSM 16922,urogenital-tract
Weissella cibaria CMS2,not-specified
Weissella paramesenteroides ATCC 33313,gastrointestinal-tract
Yersinia pestis Cadman,not-specified
Yokenella regensburgei ATCC 43003,gastrointestinal-tract
[Bacteroides] pectinophilus ATCC 43243,gastrointestinal-tract
[Clostridium asparagiforme] DSM 15981,gastrointestinal-tract
[Clostridium] asparagiforme DSM 15981,gastrointestinal-tract
[Clostridium] bolteae 90A5,not-specified
[Clostridium] bolteae 90A9,not-specified
[Clostridium] bolteae 90B3,not-specified
[Clostridium] bolteae 90B7,not-specified
[Clostridium] bolteae 90B8,not-specified
[Clostridium] bolteae ATCC BAA-613,gastrointestinal-tract
[Clostridium] bolteae WAL-14578,not-specified
[Clostridium] citroniae WAL-17108,gastrointestinal-tract
[Clostridium] citroniae WAL-19142,not-specified
[Clostridium] clostridioforme 2_1_49FAA,gastrointestinal-tract
[Clostridium] clostridioforme 90A1,not-specified
[Clostridium] clostridioforme 90A3,not-specified
[Clostridium] clostridioforme 90A4,not-specified
[Clostridium] clostridioforme 90A6,not-specified
[Clostridium] clostridioforme 90A7,not-specified
[Clostridium] clostridioforme 90A8,not-specified
[Clostridium] clostridioforme 90B1,not-specified
[Clostridium] clostridioforme CM201,not-specified
[Clostridium] clostridioforme WAL-7855,not-specified
[Clostridium] hiranonis DSM 13275,gastrointestinal-tract
[Clostridium] hiranonis DSM 13275,gastrointestinal-tract
[Clostridium] hylemonae DSM 15053,gastrointestinal-tract
[Clostridium] hylemonae DSM 15053,gastrointestinal-tract
[Clostridium] innocuum 2959,not-specified
[Clostridium] leptum DSM 753,gastrointestinal-tract
[Clostridium] leptum DSM 753,gastrointestinal-tract
[Clostridium] methylpentosum DSM 5476,gastrointestinal-tract
[Clostridium] methylpentosum DSM 5476,gastrointestinal-tract
[Clostridium] scindens ATCC 35704,gastrointestinal-tract
[Clostridium] scindens ATCC 35704,gastrointestinal-tract
[Clostridium] spiroforme DSM 1552,gastrointestinal-tract
[Clostridium] spiroforme DSM 1552 DSM 1552,gastrointestinal-tract
[Clostridium] symbiosum ATCC 14940,gastrointestinal-tract
[Clostridium] symbiosum WAL-14163,gastrointestinal-tract
[Clostridium] symbiosum WAL-14163,gastrointestinal-tract
[Clostridium] symbiosum WAL-14673,gastrointestinal-tract
[Eubacterium] hallii DSM 3353,gastrointestinal-tract
[Eubacterium] hallii DSM 3353,gastrointestinal-tract
[Eubacterium] siraeum DSM 15702,gastrointestinal-tract
[Eubacterium] yurii margaretiae ATCC 43715,oral
[Propionibacterium] humerusii HL037PA2,skin
[Propionibacterium] humerusii HL037PA3,skin
[Propionibacterium] humerusii HL044PA1,skin
[Propionibacterium] namnetense SK182B-JCVI,skin
