ID,Species,Order,Class,Phylum,Domain,Genome availability,Salinity concentration/range(w/v),Halotolerance classification
886,Salinimicrobium catena,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,no,"0.1% - 10%, optimum 1% - 4%",Slight
887,Halomonas sabkhae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"5% - 25%, optimum 7.5%",Moderate
888,Clostridiisalibacter paucivorans,Clostridiales,Clostridia,Firmicutes,Bacteria,shotgun,"1% - 10%, optimum 5%",Moderate
889,Bacillus polygoni,Bacillales,Bacilli,Firmicutes,Bacteria,no,"3% - 14%, optimum 5%",Moderate
890,Halobacillus mangrovi,Bacillales,Bacilli,Firmicutes,Bacteria,no,"5% - 20%, optimum 10%",Moderate
891,Salinicoccus iranensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"1% - 25%, optimum 7.5% - 10%",Moderate
892,Bacillus isabeliae,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0% - 16%, optimum 4% - 6%",Moderate
893,Halomonas sinaiensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"up to 30%, optimum 5% - 15%",Moderate
894,Chromohalobacter nigrandesensis ,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.5% - 25%, optimum 7.5%",Moderate
895,Halomonas kribbensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"1% - 14%, optimum 5%",Moderate
896,Modicisalibacter tunisiensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"1% - 25%, optimum 10%",Moderate
897,Salinicoccus kunmingensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0.5% - 25%, optimum 8% - 10%",Moderate
898,Salsuginibacillus kocurii,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"3% - 20%, optimum 10%",Moderate
899,Salimicrobium luteum,Bacillales,Bacilli,Firmicutes,Bacteria,no,"2% - 27%, optimum 10%",Moderate
900,Salimicrobium album,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"5% - 20%, optimum 5% - 15%",Moderate
901,Salimicrobium halophilum,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"3% - 30%, optimum 15%",Moderate
902,Marinobacter segnicrescens,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"1% - 15%, optimum 4% - 8%",Moderate
903,Bacillus chagannorensis,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"3% - 20%, optimum 7%",Moderate
904,Desulfovibrio marinus,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria,no,"0.5% - 11%, optimum 2.5% - 5%",Slight
905,Marinobacterium halophilum,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,3% - 12%,Moderate
906,Thiohalomonas denitrificans,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"6% - 18%, optimum 9% - 12%",Moderate
907,Thiohalomonas nitratireducens,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"6% - 15%, optimum 6%",Moderate
908,Virgibacillus halophilus,Bacillales,Bacilli,Firmicutes,Bacteria,no,0.18,Moderate
909,Thiohalophilus thiocyanoxidans,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"6% - 23%, optimum 9%",Moderate
910,Halomonas shengliensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"0% - 15%, optimum 5% - 15%",Moderate
911,Salinicola halophilus,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"3% - 25%, optimum 7.5% - 10%",Moderate
912,Halobacillus profundi,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0.5% - 30%, optimum 10%",Moderate
914,Halobacillus kuroshimensis,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0.5% - 25%, optimum 6%",Moderate
915,Salinicola socius,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"0.5% - 30%, optimum 3% - 10%",Moderate
916,Alkalibacillus halophilus,Bacillales,Bacilli,Firmicutes,Bacteria,no,"5% - 30%, optimum 10% - 20%",Moderate
917,Halalkalibacillus halophilus,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"5% - 25%, optimum 10% - 15%",Moderate
918,Aquisalimonas asiatica,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"1% - 20%, optimum 7% - 10%",Moderate
919,Halomonas gomseomensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"1% - 20%, optimum 8% - 12%",Moderate
920,Halomonas janggokensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"1% - 20%, optimum 10% - 15%",Moderate
921,Halomonas denitrificans,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"2% - 20%, optimum 8% - 10%",Moderate
922,Salinicola salarius,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"2% - 20%, optimum 8% - 10%",Moderate
923,Alkalibacillus silvisoli,Bacillales,Bacilli,Firmicutes,Bacteria,no,"5% - 25%, optimum 10% - 15%",Moderate
924,Lentibacillus halodurans,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"5% - 30%, optimum 8% - 12%",Moderate
925,Kushneria indalinina,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"3% - 25%, optimum 7.5% - 10%",Moderate
926,Petrotoga halophila,Petrotogales,Thermotogae,Thermotogae,Bacteria,no,"0.5% - 9%, optimum 4% - 6%",Moderate
927,Terribacillus saccharophilus,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0% - 16%, optimum 1% - 5%",Moderate
928,Halomonas alkaliantarctica,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"up to 22%, optimum 10%",Moderate
929,Halocafeteria seosinensis,Bicosoecida,not assigned,Ochrophyta,Eukarya,no,"7.5% - 36%, optimum 15%",Moderate
930,Salinicoccus salsiraiae,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0% - 22%, optimum 4%",Slight
931,Bacillus taeanensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0% - 12%, optimum 2% - 5%",Slight
932,Halobacillus blutaparonensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0% - 20%, optimum 2% - 4%",Slight
933,Marinobacter vinifirmus ,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0% - 20%, optimum 3% - 6%",Moderate
934,Salicola salis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"10% - 25%, optimum 15% - 20%",Moderate
935,Thiomicrospira halophila,Thiotrichales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"3% - 20%, optimum 9%",Moderate
936,Desulfohalobium utahense,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria,no,"2% - 24%, optimum 8% - 10%",Moderate
937,Lentibacillus halophilus,Bacillales,Bacilli,Firmicutes,Bacteria,no,"12% - 30%, optimum 20% - 26%",Extreme
938,Salicola marasensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"10% - 30%, optimum 15%",Moderate
939,Nesterenkonia aethiopica,Micrococcales,Actinobacteria,Actinobacteria,Bacteria,no,"3% - 12%, optimum 3%",Slight
941,Photobacterium ganghwense,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"1% - 7%, optimum 2%",Slight
942,Oceanisphaera donghaensis,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,0.5% - 8%,Moderate
943,Halovibrio denitrificans,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"12% - 29%, optimum 12% - 15%",Moderate
944,Halospina denitrificans,not assigned,Gammaproteobacteria,Proteobacteria,Bacteria,no,"12% - 29%, optimum 15% - 18%",Moderate
945,Gracilibacillus orientalis,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"1% - 20%, optimum 10%",Moderate
946,Desulfovermiculus halophilus,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria,shotgun,"3% - 23%, optimum 8% - 10%",Moderate
947,Bacillus salarius,Bacillales,Bacilli,Firmicutes,Bacteria,no,"3% - 20%, optimum 10% - 12%",Moderate
948,Alteromonas hispanica,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"7.5% - 15%, optimum 7.5% - 10%",Moderate
949,Halolactibacillus halophilus,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0% - 24%, optimum 2% - 3%",Slight
950,Halolactibacillus miurensis,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0% - 25.5%, optimum 2.5% - 3%",Slight
951,Palleronia marisminoris,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,shotgun,"0.5% - 15%, optimum 5%",Moderate
952,Thalassobacillus devorans,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0.5% - 20%, optimum 7.5% - 10%",Moderate
953,Methylohalobius crimeensis,Methylococcales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"1.2% - 15%, optimum 5.8% - 8.7%",Moderate
954,Alkalibacillus haloalkaliphilus,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"5% - 10%, 20%",Moderate
955,Alkalibacillus salilacus,Bacillales,Bacilli,Firmicutes,Bacteria,no,"5% - 20%, optimum 10% - 12%",Moderate
956,Halomonas almeriensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"5% - 25%, optimum 7.5%",Moderate
958,Halomonas taeanensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"1% - 25%, optimum 10% - 12%",Moderate
959,Desulfovibrio brasiliensis,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria,shotgun,"1% - 15%, optimum 3% - 10%",Moderate
960,Pontibacillus marinus,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"1% - 9%, optimum 2% - 5%",Moderate
961,Arcobacter halophilus,Campylobacterales,Epsilonproteobacter,Proteobacteria,Bacteria,no,"0.5% - 13%, optimum 3.5%",Slight
962,Bacillus oshimensis,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0% - 20%, optimum 7%",Moderate
963,Salinibacillus aidingensis,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,5% - 20%,Moderate
964,Salinibacillus kushneri,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,1% - 30%,Moderate
965,Tenuibacillus multivorans,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"1% - 20%, optimum 5% - 8%",Moderate
966,Pontibacillus chungwhensis,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"1% - 15%, optimum 2% - 5%",Slight
967,Salinimonas chungwhensis,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"requires Nacl, max 15%, optimum 2% - 5%",Moderate
968,Gramella echinicola,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,shotgun,1% - 15%,Moderate
969,Chromohalobacter sarecensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0% - 25%, optimum 8%",Moderate
970,Halomonas koreensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"1% - 20%, optimum 1% - 12%",Moderate
971,Shewanella marisflavi,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0% - 9%, optimum 2% - 3%",Slight
972,Desulfovibrio bastinii,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria,shotgun,"1% - 12%, optimum 4%",Moderate
973,Desulfovibrio gracilis,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria,shotgun,"2% - 12%, optimum 5% - 6%",Moderate
974,Paracoccus haeundaensis,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,complete genome,"0% - 8%, optimum 1% - 6%",Moderate
975,Halomonas organivorans,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"1.5% - 30%, optimum 7.5% - 10%",Moderate
976,Salipiger mucosus,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,shotgun,"0.5% - 20%, optimum 3% - 6%, optimum with sea s",Moderate
977,Algoriphagus aquimarinus,Cytophagales,Cytophagia,Bacteroidetes,Bacteria,shotgun,0% - 10%,Moderate
978,Algoriphagus chordae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria,no,1% - 10%,Moderate
979,Algoriphagus winogradskyi,Cytophagales,Cytophagia,Bacteroidetes,Bacteria,no,1% - 10%,Moderate
980,Algoriphagus halophilus,Cytophagales,Cytophagia,Bacteroidetes,Bacteria,shotgun,0% - 8%,Moderate
981,Marinobacter flavimaris,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0% - 21%, optimum 2% - 6%",Moderate
982,Marinobacter daepoensis,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"0% - 19%, optimum 2% - 6%",Moderate
983,Nocardiopsis salina,Streptosporangiales,Actinobacteria,Actinobacteria,Bacteria,shotgun,"3% - 20%, optimum 10%",Moderate
984,Thialkalivibrio halophilus,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"1% - 29%, optimum 12%",Moderate
985,Alteromonas litorea,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.5% - 14%, optimum 2% - 3%",Slight
986,Jeotgalibacillus campisalis,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0.5% - 15%, optimum 2% - 3%",Slight
987,Halomonas boliviensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"0% - 25%, optimum 5%",Moderate
988,Psychroflexus tropicus,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,shotgun,"1% - 20%, optimum 7.5% - 10%",Moderate
989,Shewanella gaetbuli,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0% - 8%, optimum 2%",Slight
990,Aestuariibacter salexigens,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"1% - 10%, optimum 2% - 6%",Moderate
991,Aestuariibacter halophilus,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.5% - 10%, optimum 2% - 3%",Slight
992,Halomonas neptunia,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.5% - 27%, optimum 2% - 3%",Slight
993,Halomonas sulfidaeris,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.5% - 24%, optimum 2% - 3%",Slight
994,Halomonas axialensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"0.5% - 24%, optimum 4%",Slight
995,Halomonas hydrothermalis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"0.5% - 22%, optimum 4% - 7%",Moderate
996,Marinospirillum insulare,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"0.5% - 10%, optimum 2% - 3%",Slight
997,Idiomarina loihiensis,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,complete genome,"0.5% - 20%, optimum 7.5% - 10%",Moderate
998,Oceanisphaera litoralis,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.5% - 10%, optimum 1% - 3%",Slight
999,Marinobacter lipolyticus,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"1% - 15%, optimum 7.5%",Moderate
1000,Streptomonospora alba,Streptosporangiales,Actinobacteria,Actinobacteria,Bacteria,shotgun,"5% - 25%, optimum 10% - 15%",Moderate
1001,Prauserella halophila,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria,no,"5% - 25%, optimum 10% - 15%",Moderate
1002,Prauserella alba,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria,no,"0% - 25%, optimum 10% - 15%",Moderate
1003,Saccharomonospora paurometabolica,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria,shotgun,optimum 10%,Moderate
1004,Paramaledivibacter caminithermalis,Clostridiales,Clostridia,Firmicutes,Bacteria,shotgun,"1% - 5%, optimum 3%",Slight
1005,Methylophaga natronica,Thiotrichales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.05% - 10%, optimum 2% - 3%",Slight
1006,Halobacillus karajensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"1% - 24%, optimum 10%",Moderate
1007,Erythrobacter flavus,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria,no,"1% - 14%, optimum 2% - 5%",Moderate
1008,Bacillus aeolius,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0.5% - 5%, optimum 2%",Slight
1009,Marinilactibacillus psychrotolerans,Lactobacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0% - 20.5%, optimum 2% - 3.75%",Slight
1010,Marinobacter litoralis,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.5% - 18%, optimum 2% - 7%",Moderate
1011,Salinisphaera shabanensis,Salinisphaerales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"1% - 28%, optimum 10%",Moderate
1012,Microbulbifer salipaludis,Cellvibrionales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"1% - 10%, optimum 2% - 3%",Slight
1013,Methylophaga alcalica,Thiotrichales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.05% - 10%, optimum 3% - 4%",Slight
1014,Nocardiopsis xinjiangensis,Streptosporangiales,Actinobacteria,Actinobacteria,Bacteria,shotgun,optimum 10%,Moderate
1015,Lentibacillus salicampi,Bacillales,Bacilli,Firmicutes,Bacteria,no,"1% - 23%, optimum 4% - 8%",Moderate
1016,Paraliobacillus ryukyuensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0% - 22%, optimum 0.75% - 3%",Slight
1017,Psychromonas marina,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"1% - 7%, optimum 3% - 5%",Moderate
1018,Psychrobacter submarinus,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,1% - 15%,Moderate
1019,Psychrobacter marincola,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,1% - 15%,Moderate
1020,Halomicronema excentricum,Synechococcales,not assigned,Cyanobacteria,Bacteria,no,"3.2% - 15%, optimum 3.2% - 12%",Moderate
1021,Salinicoccus alkaliphilus,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0% - 25%, optimum 10%",Moderate
1022,Haliangium ochraceum,Myxococcales,Deltaproteobacteria,Proteobacteria,Bacteria,complete genome,"0.5% - 6%, optimum 1% - 3%",Slight
1023,Haliangium tepidum,Myxococcales,Deltaproteobacteria,Proteobacteria,Bacteria,no,"0.5% - 6%, optimum 1% - 3%",Slight
1024,Enterovibrio calviensis,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"1.5% - 12%, optimum 2.5% - 3.5%",Slight
1025,Alkalilimnicola halodurans,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0% - 28%, optimum 3% - 8%",Moderate
1026,Halomonas maura,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"1% - 15%, optimum 7.5% - 10%",Moderate
1027,Natrialba asiatica,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,"12% - satr, optimum 23%",Extreme
1028,Kushneria marisflavi,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.5% - 27%, optimum 0.5% - 12%",Moderate
1029,Filobacillus milosensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"2% - 23%, optimum 8% - 14%",Moderate
1030,Methylarcula marina,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,no,"0.05% - 12%, optimum 3% - 8%",Moderate
1031,Nocardiopsis kunsanensis,Streptosporangiales,Actinobacteria,Actinobacteria,Bacteria,shotgun,"1% - 24%, optimum 10%",Moderate
1032,Haloanaerobium fermentans,Halanaerobiales,Clostridia,Firmicutes,Bacteria,no,"7% - 25%, optimum 10%",Moderate
1033,Thermohalobacter berrensis,Clostridiales,Clostridia,Firmicutes,Bacteria,no,"2% - 15%, optimum 5%",Moderate
1034,Halobium palmae,not assigned,not assigned,Euryarchaeota,Archaea,no,"min 10%, optimum 15%",Moderate
1035,Halomonas sediminicola,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"1% - 20%, optimum 10%",Moderate
1036,Pontibacillus salipaludis,Bacillales,Bacilli,Firmicutes,Bacteria,no,optimum 2% - 3%,Slight
1037,Aliifodinibius halophilus,Balneolales,Balneolia,Rhodothermaeota,Bacteria,no,"2% - 18%, optimum 6% - 10%",Moderate
1038,Oceanobacillus longus,Bacillales,Bacilli,Firmicutes,Bacteria,no,"1% - 20%, optimum 5%",Moderate
1039,Larsenimonas suaedae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.6% - 20%, optimum 5% - 6%",Moderate
1040,Halorubrum pallidum,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,optimum 20%,Extreme
1041,Acanthocyclops sp.,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,0.21,Extreme
1042,Acanthocyclops americanus,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,0.08,Moderate
1043,Apocyclops dengizicus,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,"0.4% - 8.1%, 4% - 13%",Moderate
1044,Apocyclops cf. dengizicus,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,0.13,Moderate
1045,Apocyclops panamensis,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,4.20E-02,Slight
1046,Apocyclops royi,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,4.9% - 5%,Moderate
1047,Cyclops sp.,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,3.8% - 31%,Extreme
1048,Cyclops furcifer,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,0.15,Moderate
1049,Cyclops furcifer borealis,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,>10%,Moderate
1050,Cyclops strenuus,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,7.90E-02,Moderate
1051,Diacyclops sp.,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,0.15,Moderate
1052,Diacyclops bicuspidatus,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,10% - 10.7%,Moderate
1053,Diacyclops bisetosus,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,"5%, 10%, 15%",Moderate
1054,Diacyclops odessanus,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,0.06,Moderate
1055,Diacyclops thomasi,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,"0.5% - 7%, 7.2%",Moderate
1056,Eucyclops sp.,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,0.15,Moderate
1057,Eucyclops serrulatus,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,5.50E-02,Moderate
1058,Halicyclops ambiguus,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,6.20E-02,Moderate
1059,Halicyclops cf. ambiguus,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,3.70E-02,Slight
1060,Halicyclops spinifer,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,3.30E-02,Slight
1061,Meridiecyclops baylyi,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,"1% - 24%, 24%",Extreme
1062,Meridiecyclops platypus,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,"7.8%, 8.1%, 20%",Moderate
1063,Metacyclops sp.,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,"5%, 9.5%, 11.8%",Moderate
1064,Microcyclops sp.,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,"14.3%, 14.4%, 15.2%, 17%",Moderate
1065,Neocyclops salinarum,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,"8.1%, >9%",Moderate
1066,Oithona nana,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,5.30E-02,Moderate
1067,Pescecyclops arnaudi,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,"6.8%, 9.3%, 14.7%",Moderate
1068,Pescecyclops laurentiisae,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,0.123,Moderate
1069,Thermocyclops dybowskii,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,0.04,Slight
1070,Canuella perplexa,Harpacticoida,Maxillopoda,Arthropoda,Eukarya,no,0.1,Moderate
1071,Cletocamptus confluens,Harpacticoida,Maxillopoda,Arthropoda,Eukarya,no,>10%,Moderate
1072,Mesochra nr. flava,Harpacticoida,Maxillopoda,Arthropoda,Eukarya,no,0.13,Moderate
1073,Mesochra lilljeborgii,Harpacticoida,Maxillopoda,Arthropoda,Eukarya,no,0.24,Extreme
1074,Mesochra rapiens,Harpacticoida,Maxillopoda,Arthropoda,Eukarya,no,0.24,Extreme
1075,Mesochra rostrata,Harpacticoida,Maxillopoda,Arthropoda,Eukarya,no,0.24,Extreme
1076,Metis ignea,Harpacticoida,Maxillopoda,Arthropoda,Eukarya,no,"8.9%, 26%",Extreme
1077,Nitokra spinipes,Harpacticoida,Maxillopoda,Arthropoda,Eukarya,no,0.24,Extreme
1078,Acartia tonsa,Calanoida,Maxillopoda,Arthropoda,Eukarya,no,5.50E-02,Moderate
1079,Leptodiaptomus siciloides,Calanoida,Maxillopoda,Arthropoda,Eukarya,no,0.107,Moderate
1080,Methylarcula terricola,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,no,"0.05% - 14%, optimum 3% - 6%",Moderate
1081,Alcanivorax jadensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"0.5% - 15%, optimum 3%",Slight
1082,Virgibacillus marismortui,Bacillales,Bacilli,Firmicutes,Bacteria,no,"5% - 25%, optimum 10%",Moderate
1083,Desulfocella halophila,Desulfobacterales,Deltaproteobacteria,Proteobacteria,Bacteria,no,"2% - 19%, optimum 4% - 5%",Moderate
1084,Desulfotomaculum halophilum ,Clostridiales,Clostridia,Firmicutes,Bacteria,no,"1% - 14%, optimum 6%",Moderate
1085,Psychromonas antarctica,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0% - 4%, optimum 3%",Slight
1086,Tetragenococcus muriaticus ,Lactobacillales,Bacilli,Firmicutes,Bacteria,shotgun,"1% - 25%, optimum 7% - 10%",Moderate
1087,Virgibacillus salexigens,Bacillales,Bacilli,Firmicutes,Bacteria,no,"7% - 20%, optimum 10%",Moderate
1088,Dethiosulfovibrio peptidovorans,Synergistales,Synergistia,Synergistetes,Bacteria,shotgun,"1% - 11%, optimum 3%",Slight
1089,Methylophaga limanica,Thiotrichales,Gammaproteobacteria,Proteobacteria,Bacteria,no,optimum 3% - 5%,Moderate
1090,Ruegeria lacuscaerulensis,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,shotgun,"1% - 7%, optimum 3.5% - 4%",Slight
1091,Halochromatium glycolicum,Chromatiaceae,Chromatiales,Gammaproteobact,Bacteria,no,"2% - 20%, optimum 4% - 5%",Moderate
1092,Desulfovibrio vietnamensis,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria,no,"0% - 10%, optimum 5%",Moderate
1093,Halobacillus litoralis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0.5% - 25%, optimum 10%",Moderate
